postcode,longitude,latitude
GU1 4RY,-0.577964,51.236867
HG1 1ND,-1.539152,53.991456
SK6 3DY,-2.100407,53.410837
EC1V 9LT,-0.079703,51.52708
CM23 3FR,0.16496,51.863594
EN5 5LB,-0.191194,51.652982
WC2H 9JQ,-0.123615,51.514897
TN8 5NF,0.074661,51.181681
AB11 7SY,-2.104462,57.135299
RH16 4RW,-0.111383,50.986608
GY1 1EW,,
RG26 5AT,-1.111872,51.328018
SE4 1NQ,-0.032256,51.46223
SW11 2HS,-0.175649,51.465268
B70 7SP,-1.997378,52.511598
TN11 9PL,0.285195,51.247998
SS3 0GW,0.796831,51.548393
GU21 5TS,-0.520518,51.33919
CR0 1JB,-0.096798,51.368368
NW6 1RD,-0.192228,51.551349
NG1 5GF,-1.156826,52.955537
IG1 3DF,0.061047,51.561876
W1H 1NB,-0.16295,51.519393
OL2 7DD,-2.101499,53.572179
E1 7AA,-0.075635,51.515567
PL1 4QG,-4.169675,50.375574
G42 9HY,-4.263013,55.82376
CR0 2LP,-0.093086,51.392283
EH1 2AE,-3.208413,55.949508
M14 4JF,-2.23837,53.453463
PE21 7TW,-0.05901,52.976532
CM2 9AE,0.460912,51.723609
FK10 4JR,-3.74822,56.104009
WV12 4EZ,-2.037537,52.594665
LE12 7TZ,-1.151878,52.735693
SM7 2NL,-0.200808,51.322997
N1 7GU,-0.09371,51.530737
HP2 7DN,-0.444195,51.763096
W12 8LA,-0.229863,51.505918
NR2 2AL,1.273784,52.620579
PE30 1LT,0.396139,52.757937
NN17 2JY,-0.708511,52.505506
GL15 6EF,-2.57539,51.748613
TF1 5GS,-2.469166,52.696691
CM0 7TJ,0.88237,51.695764
M2 4NG,-2.242653,53.481031
NW3 1EH,-0.17583,51.560294
LL17 0RE,-3.440656,53.258121
N6 5HF,-0.143132,51.570458
RG7 3SW,-1.061883,51.377174
BT78 1LE,-7.304153,54.596926
G31 1DN,-4.218361,55.858262
G12 8HN,-4.282924,55.875546
SO15 2BE,-1.408455,50.91065
SW3 2BZ,-0.168078,51.49648
HA8 8BN,-0.28745,51.622245
SW20 8DN,-0.225968,51.409621
E3 2NT,-0.021334,51.539293
LS25 6BQ,-1.251169,53.796692
NW7 2DQ,-0.247007,51.610297
DA2 6EP,0.251344,51.43833
DA10 1ET,0.301467,51.434425
EC2A 4NE,-0.083628,51.525615
UB3 5HH,-0.421035,51.483343
RM17 6PL,0.319559,51.474313
TW16 5LB,-0.399858,51.409409
HA1 3AW,-0.338945,51.5793
NR3 1RB,1.298974,52.629934
SW17 8NX,-0.160403,51.429815
E4 8EE,-0.02057,51.620995
WF8 4BG,-1.33218,53.686741
TQ1 3NT,-3.515783,50.478186
BR3 5BZ,-0.011677,51.413016
S41 7LL,-1.427438,53.239674
SM4 6HA,-0.186637,51.393606
W1B 5DF,-0.13693,51.51037
SE1 6PG,-0.096137,51.495307
IG2 6UF,0.065209,51.577297
WC1N 3AX,-0.12221,51.520592
DL14 6HX,-1.677871,54.652423
E2 0LT,-0.050708,51.527842
