SICCode,Section
01110,"Section A Agriculture, Forestry and Fishing"
01120,"Section A Agriculture, Forestry and Fishing"
01130,"Section A Agriculture, Forestry and Fishing"
01140,"Section A Agriculture, Forestry and Fishing"
01150,"Section A Agriculture, Forestry and Fishing"
01160,"Section A Agriculture, Forestry and Fishing"
01190,"Section A Agriculture, Forestry and Fishing"
01210,"Section A Agriculture, Forestry and Fishing"
01220,"Section A Agriculture, Forestry and Fishing"
01230,"Section A Agriculture, Forestry and Fishing"
01240,"Section A Agriculture, Forestry and Fishing"
01250,"Section A Agriculture, Forestry and Fishing"
01260,"Section A Agriculture, Forestry and Fishing"
01270,"Section A Agriculture, Forestry and Fishing"
01280,"Section A Agriculture, Forestry and Fishing"
01290,"Section A Agriculture, Forestry and Fishing"
01300,"Section A Agriculture, Forestry and Fishing"
01410,"Section A Agriculture, Forestry and Fishing"
01420,"Section A Agriculture, Forestry and Fishing"
01430,"Section A Agriculture, Forestry and Fishing"
01440,"Section A Agriculture, Forestry and Fishing"
01450,"Section A Agriculture, Forestry and Fishing"
01460,"Section A Agriculture, Forestry and Fishing"
01470,"Section A Agriculture, Forestry and Fishing"
01490,"Section A Agriculture, Forestry and Fishing"
01500,"Section A Agriculture, Forestry and Fishing"
01610,"Section A Agriculture, Forestry and Fishing"
01621,"Section A Agriculture, Forestry and Fishing"
01629,"Section A Agriculture, Forestry and Fishing"
01630,"Section A Agriculture, Forestry and Fishing"
01640,"Section A Agriculture, Forestry and Fishing"
01700,"Section A Agriculture, Forestry and Fishing"
02100,"Section A Agriculture, Forestry and Fishing"
02200,"Section A Agriculture, Forestry and Fishing"
02300,"Section A Agriculture, Forestry and Fishing"
02400,"Section A Agriculture, Forestry and Fishing"
03110,"Section A Agriculture, Forestry and Fishing"
03120,"Section A Agriculture, Forestry and Fishing"
03210,"Section A Agriculture, Forestry and Fishing"
03220,"Section A Agriculture, Forestry and Fishing"
05101,Section B Mining and Quarrying
05102,Section B Mining and Quarrying
05200,Section B Mining and Quarrying
06100,Section B Mining and Quarrying
06200,Section B Mining and Quarrying
07100,Section B Mining and Quarrying
07210,Section B Mining and Quarrying
07290,Section B Mining and Quarrying
08110,Section B Mining and Quarrying
08120,Section B Mining and Quarrying
08910,Section B Mining and Quarrying
08920,Section B Mining and Quarrying
08930,Section B Mining and Quarrying
08990,Section B Mining and Quarrying
09100,Section B Mining and Quarrying
09900,Section B Mining and Quarrying
10110,Section C Manufacturing
10120,Section C Manufacturing
10130,Section C Manufacturing
10200,Section C Manufacturing
10310,Section C Manufacturing
10320,Section C Manufacturing
10390,Section C Manufacturing
10410,Section C Manufacturing
10420,Section C Manufacturing
10511,Section C Manufacturing
10512,Section C Manufacturing
10519,Section C Manufacturing
10520,Section C Manufacturing
10611,Section C Manufacturing
10612,Section C Manufacturing
10620,Section C Manufacturing
10710,Section C Manufacturing
10720,Section C Manufacturing
10730,Section C Manufacturing
10810,Section C Manufacturing
10821,Section C Manufacturing
10822,Section C Manufacturing
10831,Section C Manufacturing
10832,Section C Manufacturing
10840,Section C Manufacturing
10850,Section C Manufacturing
10860,Section C Manufacturing
10890,Section C Manufacturing
10910,Section C Manufacturing
10920,Section C Manufacturing
11010,Section C Manufacturing
11020,Section C Manufacturing
11030,Section C Manufacturing
11040,Section C Manufacturing
11050,Section C Manufacturing
11060,Section C Manufacturing
11070,Section C Manufacturing
12000,Section C Manufacturing
13100,Section C Manufacturing
13200,Section C Manufacturing
13300,Section C Manufacturing
13910,Section C Manufacturing
13921,Section C Manufacturing
13922,Section C Manufacturing
13923,Section C Manufacturing
13931,Section C Manufacturing
13939,Section C Manufacturing
13940,Section C Manufacturing
13950,Section C Manufacturing
13960,Section C Manufacturing
13990,Section C Manufacturing
